id,person_id,kind,area,area_detail,time_spent,date_done,date_created
752,14,Practical (repetitive),House work,Room maintenance,60,2010-03-06,2010-03-09 12:55:55
753,14,Practical (repetitive),House work,Garden,240,2010-03-04,2010-03-09 12:58:39
754,31,Practical (once),House technic work,House technic work,480,2010-03-09,2010-03-13 14:05:05
755,31,Theoretical,House technic work,House technic work,180,2010-03-08,2010-03-09 15:55:57
756,31,Theoretical,House technic work,House technic work,150,2010-03-07,2010-03-09 15:58:45
757,11,Theoretical,Community work,Community work,60,2010-03-08,2010-03-09 19:07:09
758,11,Meeting,Community work,Cohabitation,120,2010-03-09,2010-03-09 20:06:35
759,7,Practical (repetitive),House technic work,House technic work,30,2010-03-09,2010-03-09 21:11:11
760,2,Meeting,Community work,Trustmangement,90,2010-03-08,2010-03-09 21:52:31
761,2,Meeting,Community work,Visitors,90,2010-03-07,2010-03-09 21:53:31
762,2,Meeting,Community work,Community action,30,2010-03-07,2010-03-09 21:54:13
763,2,Practical (repetitive),House work,Garden,60,2010-03-08,2010-03-09 21:56:10
764,42,Meeting,Community work,Cohabitation,90,2010-03-09,2010-03-10 08:47:52
765,42,Theoretical,Communication work,Public relations,90,2010-03-10,2010-03-10 08:48:55
766,15,Practical (once),House technic work,Reactivation,180,2010-01-27,2010-03-10 09:33:02
767,15,Meeting,Community work,Community work,180,2010-03-06,2010-03-10 09:35:23
768,15,Theoretical,Administration work,Supervisory Board,60,2010-01-30,2010-03-10 09:37:05
769,15,Practical (once),House work,Garden,60,2010-03-05,2010-03-10 09:38:34
770,15,Theoretical,Community work,Community building,30,2010-03-05,2010-03-10 09:39:44
771,32,Theoretical,House work,Cooking,60,2010-03-09,2010-03-10 13:55:10
772,32,Theoretical,House work,Cooking,60,2010-03-10,2010-03-10 13:55:47
773,29,Meeting,Community work,Community work,180,2010-03-06,2010-03-10 14:10:00
774,29,Meeting,House work,Fair Work System,150,2010-03-08,2010-03-10 14:11:06
775,30,Practical (repetitive),House work,Cleaning,150,2010-03-04,2010-03-10 14:35:48
776,30,Meeting,Community work,Community work,180,2010-03-05,2010-03-10 14:37:19
777,30,Practical (once),Community work,Cake Day,60,2010-03-03,2010-03-10 14:38:32
778,29,Theoretical,Community work,Community building,30,2010-03-07,2010-03-10 20:57:45
779,29,Theoretical,House work,Garden,30,2010-03-10,2010-03-10 20:59:14
780,2,Practical (once),House work,Cooking,90,2010-03-09,2010-03-10 23:26:57
781,2,Practical (repetitive),House work,Garden,60,2010-03-10,2010-03-10 23:28:53
782,17,Meeting,House work,Cooking,120,2010-03-10,2010-03-11 08:38:31
783,17,Theoretical,House work,Garden,60,2010-03-10,2010-03-11 08:39:29
784,8,Theoretical,House work,Garden,120,2010-03-11,2010-03-11 10:18:48
785,55,Meeting,House work,Fair Work System,120,2010-03-08,2010-03-11 12:22:03
786,54,Meeting,Community work,Trustmangement,120,2010-03-08,2010-03-11 14:42:15
787,40,Practical (repetitive),House work,Cleaning,210,2010-01-27,2010-03-11 14:42:53
788,54,Theoretical,Community work,Community building,180,2010-03-11,2010-03-11 14:44:34
789,40,Theoretical,Community work,Community building,180,2010-03-11,2010-03-11 14:46:41
790,20,Practical (once),Community work,Other,360,2010-03-06,2010-03-11 14:48:05
791,20,Practical (once),Community work,Other,120,2010-03-07,2010-03-11 14:49:25
792,20,Meeting,Community work,Visitors,60,2010-03-08,2010-03-11 14:51:18
793,20,Practical (repetitive),Community work,Visitors,30,2010-03-08,2010-03-11 14:52:08
794,20,Meeting,Community work,Other,30,2010-03-08,2010-03-11 14:54:57
795,21,Practical (repetitive),House technic work,Interior planning,60,2010-03-02,2010-03-11 16:33:42
796,21,Practical (repetitive),House work,Cleaning,60,2010-03-10,2010-03-11 16:36:02
797,21,Practical (repetitive),Community work,Cake Day,30,2010-03-10,2010-03-11 16:37:39
798,21,Practical (once),House work,Garden,360,2010-03-11,2010-03-11 16:39:17
799,13,Practical (repetitive),House work,Cleaning,60,2010-03-11,2010-03-11 18:16:05
800,7,Practical (once),House technic work,Reactivation,150,2010-03-11,2010-03-11 22:19:01
801,7,Practical (repetitive),House technic work,House technic work,30,2010-03-11,2010-03-11 22:19:14
802,2,Practical (repetitive),House work,Garden,180,2010-03-11,2010-03-11 22:33:54
803,30,Practical (once),House work,Garden,210,2010-03-11,2010-03-11 22:40:23
804,30,Theoretical,House work,Room maintenance,30,2010-03-11,2010-03-11 22:53:52
805,7,Practical (repetitive),House work,Garden,60,2010-03-12,2010-03-12 08:56:19
806,32,Theoretical,House work,Cooking,120,2010-03-10,2010-03-12 11:33:04
807,44,Practical (once),Other,,60,2010-03-11,2010-03-12 12:40:58
808,34,Theoretical,Communication work,Events,180,2010-03-12,2010-03-12 13:33:51
809,15,Theoretical,Communication work,Public relations,180,2010-03-12,2010-03-12 13:35:28
810,11,Theoretical,Community work,Community gathering,60,2010-03-12,2010-03-12 15:05:44
811,2,Theoretical,Community work,Visitors,60,2010-03-12,2010-03-12 15:55:06
812,2,Theoretical,Community work,Visitors,30,2010-03-12,2010-03-12 18:29:37
813,38,Meeting,Community work,Trustmangement,120,2010-03-08,2010-03-12 18:42:15
814,38,Practical (repetitive),House work,Garden,30,2010-03-12,2010-03-12 18:44:59
815,20,Practical (repetitive),Communication work,Public relations,150,2010-03-12,2010-03-12 19:21:06
816,20,Theoretical,Community work,Visitors,30,2010-03-12,2010-03-12 19:22:02
817,5,Practical (repetitive),Community work,Cake Day,60,2010-03-03,2010-03-12 19:22:46
818,5,Practical (repetitive),Community work,Cake Day,120,2010-03-08,2010-03-12 19:26:15
819,5,Practical (repetitive),Community work,Cake Day,120,2010-03-09,2010-03-12 19:29:28
820,5,Practical (repetitive),Community work,Cake Day,180,2010-03-10,2010-03-12 19:31:55
821,42,Practical (repetitive),Communication work,Public relations,180,2010-03-12,2010-03-13 08:04:58
822,42,Practical (repetitive),Communication work,Public relations,90,2010-03-11,2010-03-13 08:05:47
823,42,Practical (once),House technic work,Reactivation,60,2010-03-11,2010-03-13 08:06:26
824,56,Meeting,Administration work,Board of Directors,180,2010-01-05,2010-03-13 08:30:51
825,56,Meeting,Administration work,Board of Directors,180,2010-01-07,2010-03-13 08:32:21
826,56,Meeting,Administration work,Board of Directors,180,2010-01-10,2010-03-13 08:33:38
827,56,Meeting,Administration work,Board of Directors,120,2010-01-17,2010-03-13 08:35:12
828,56,Meeting,Administration work,Board of Directors,270,2010-01-19,2010-03-13 08:37:16
829,56,Meeting,Administration work,Board of Directors,180,2010-01-19,2010-03-13 08:39:02
830,56,Meeting,Administration work,Board of Directors,180,2010-01-21,2010-03-13 08:40:16
831,56,Meeting,Administration work,Board of Directors,180,2010-03-02,2010-03-13 08:41:56
832,56,Meeting,Administration work,Board of Directors,180,2010-03-07,2010-03-13 08:42:47
833,56,Theoretical,Administration work,Board of Directors,240,2010-01-01,2010-03-13 08:44:48
834,56,Theoretical,Administration work,Board of Directors,360,2010-01-02,2010-03-13 08:45:49
835,56,Theoretical,Administration work,Board of Directors,360,2010-01-03,2010-03-13 08:47:36
836,56,Theoretical,Administration work,Board of Directors,420,2010-01-04,2010-03-13 08:48:32
837,56,Theoretical,Administration work,Board of Directors,360,2010-01-05,2010-03-13 08:49:18
838,56,Theoretical,Administration work,Board of Directors,600,2010-01-06,2010-03-13 08:50:30
839,56,Theoretical,Administration work,Board of Directors,120,2010-01-07,2010-03-13 08:51:05
840,56,Theoretical,Administration work,Board of Directors,120,2010-01-08,2010-03-13 08:52:35
841,51,Practical (once),House work,Garden,360,2010-03-11,2010-03-13 09:04:55
842,51,Meeting,Community work,Community work,180,2010-03-06,2010-03-13 09:24:11
843,13,Meeting,Communication work,Hotel,180,2010-03-12,2010-03-13 09:53:05
844,13,Practical (repetitive),Communication work,Hotel,30,2010-03-12,2010-03-13 09:54:55
845,22,Practical (repetitive),Community work,Cake Day,90,2010-03-10,2010-03-13 10:41:00
846,44,Theoretical,Other,,60,2010-03-13,2010-03-13 12:36:44
847,56,Theoretical,Administration work,Board of Directors,420,2010-01-15,2010-03-13 13:53:36
848,56,Theoretical,Administration work,Board of Directors,360,2010-01-16,2010-03-13 13:55:08
849,56,Theoretical,Administration work,Board of Directors,420,2010-01-17,2010-03-13 13:57:24
850,31,Practical (repetitive),House work,Garden,30,2010-03-08,2010-03-13 13:58:44
851,31,Practical (once),House technic work,House technic work,90,2010-03-12,2010-03-13 14:00:35
852,56,Theoretical,Administration work,Board of Directors,180,2010-01-18,2010-03-13 14:01:18
853,31,Practical (once),House technic work,House technic work,120,2010-03-11,2010-03-13 14:02:08
854,31,Theoretical,House technic work,House technic work,150,2010-03-10,2010-03-13 14:03:23
856,56,Theoretical,Administration work,Board of Directors,60,2010-01-23,2010-03-13 14:11:00
857,56,Theoretical,Administration work,Board of Directors,120,2010-01-22,2010-03-13 14:12:21
858,56,Theoretical,Administration work,Board of Directors,180,2010-01-20,2010-03-13 14:14:17
859,56,Meeting,Administration work,Board of Directors,120,2010-03-03,2010-03-13 14:16:35
860,56,Theoretical,Administration work,Board of Directors,210,2010-03-03,2010-03-13 14:17:19
861,56,Theoretical,Administration work,Board of Directors,120,2010-03-02,2010-03-13 14:18:33
862,56,Theoretical,Administration work,Board of Directors,120,2010-01-26,2010-03-13 14:20:04
863,56,Theoretical,Administration work,Board of Directors,90,2010-01-30,2010-03-13 14:21:21
864,56,Theoretical,Administration work,Board of Directors,120,2010-01-21,2010-03-13 14:25:53
865,56,Theoretical,Administration work,Board of Directors,210,2010-03-04,2010-03-13 14:28:59
866,56,Theoretical,Administration work,Board of Directors,120,2010-03-05,2010-03-13 14:31:02
867,56,Theoretical,Administration work,Board of Directors,180,2010-03-12,2010-03-13 14:32:55
868,56,Practical (repetitive),House work,Cooking,60,2010-03-11,2010-03-13 14:34:35
869,56,Theoretical,Administration work,Board of Directors,120,2010-03-11,2010-03-13 14:35:16
870,56,Theoretical,Administration work,Board of Directors,150,2010-03-10,2010-03-13 15:14:58
871,56,Theoretical,Administration work,Board of Directors,240,2010-03-09,2010-03-13 15:15:59
872,56,Theoretical,Administration work,Board of Directors,90,2010-03-08,2010-03-13 15:18:36
873,56,Theoretical,Administration work,Board of Directors,120,2010-03-07,2010-03-13 15:20:19
874,56,Theoretical,Administration work,Board of Directors,240,2010-03-06,2010-03-13 15:21:31
875,56,Theoretical,Administration work,Board of Directors,300,2010-01-09,2010-03-13 15:22:58
876,56,Theoretical,Administration work,Board of Directors,210,2010-01-10,2010-03-13 15:24:09
